X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
STNNBRbin0	CASTNObin0	-0.484911	-0.484911	-0.484911	1	1	3	0	0.416000	-0.735626	0.264374	-0.735626	0.264374	0	-0.632456	0.367544	-0.632456	0.367544	0	0.928897	0.559681	0.559681	0.467615	0.467615	1	2
STNNBRbin0	SAMPNObin0	0.642803	0.642803	0.642803	1	1	4	0	0.168000	0.987362	0.012638	0.987362	0.012638	0	0.948683	0.051317	0.948683	0.051317	0	0.790256	0.270988	0.270988	0.182569	0.182569	1	3
STNNBRbin0	BTLNBRbin0	0.642803	0.642803	0.642803	1	1	4	0	0.170000	0.997331	0.002669	0.997331	0.002669	0	0.948683	0.051317	0.948683	0.051317	0	0.790256	0.130929	0.130929	0.182569	0.182569	1	4
STNNBRbin0	CTDRAWbin0	-0.432281	-0.432281	-0.432281	1	1	4	0	0.497000	-0.633741	0.366259	-0.633741	0.366259	0	-0.632456	0.367544	-0.632456	0.367544	0	0.941850	0.616416	0.616416	0.467615	0.467615	1	5
STNNBRbin0	CTDPRSbin0	-0.432281	-0.432281	-0.432281	1	1	4	0	0.509000	-0.596699	0.403301	-0.596699	0.403301	0	-0.632456	0.367544	-0.632456	0.367544	0	0.941850	0.628202	0.628202	0.467615	0.467615	1	6
STNNBRbin0	CTDTMPbin0	-0.227469	-0.227469	-0.227469	2	2	2	0	0.963000	-0.236422	0.763578	-0.236422	0.763578	0	0.105409	0.894591	0.105409	0.894591	0	1.000000	0.764338	0.764338	0.555833	0.555833	1	7
STNNBRbin0	CTDSALbin0	-0.642803	-0.642803	-0.642803	1	1	4	0	0.080000	-0.909293	0.090707	-0.909293	0.090707	0	-0.948683	0.051317	-0.948683	0.051317	0	0.790256	0.407985	0.407985	0.182569	0.182569	1	8
STNNBRbin0	CTDOXYbin0	0.362703	0.362703	0.362703	1	1	1	0	0.586000	0.285413	0.714587	0.285413	0.714587	0	0.316228	0.683772	0.316228	0.683772	0	0.941850	0.751547	0.751547	0.489827	0.489827	1	9
STNNBRbin0	THETAbin0	-0.227469	-0.227469	-0.227469	2	2	2	0	0.955000	-0.234130	0.765870	-0.234130	0.765870	0	0.105409	0.894591	0.105409	0.894591	0	1.000000	0.764338	0.764338	0.555833	0.555833	1	10
STNNBRbin0	SALNTYbin0	-0.642803	-0.642803	-0.642803	1	1	4	0	0.165000	-0.943423	0.056577	-0.943423	0.056577	0	-0.948683	0.051317	-0.948683	0.051317	0	0.790256	0.365500	0.365500	0.182569	0.182569	1	11
STNNBRbin0	OXYGENbin0	0.511489	0.511489	0.511489	1	1	4	0	0.305000	0.618701	0.381299	0.618701	0.381299	0	0.737865	0.262135	0.737865	0.262135	0	0.819306	0.626376	0.626376	0.350778	0.350778	1	12
STNNBRbin0	SILCATbin0	0.227469	0.227469	0.227469	2	2	2	0	1.000000	0.072613	0.927387	0.072613	0.927387	0	-0.105409	0.894591	-0.105409	0.894591	0	1.000000	0.791906	0.791906	0.555833	0.555833	1	13
STNNBRbin0	NO2+NO3bin0	0.227469	0.227469	0.227469	2	2	2	0	1.000000	0.129818	0.870182	0.129818	0.870182	0	-0.105409	0.894591	-0.105409	0.894591	0	1.000000	0.786093	0.786093	0.555833	0.555833	1	14
