X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
CTDTMPbin0	CTDSALbin0	0.293125	0.293125	0.293125	2	2	2	0	0.687000	0.601322	0.398678	0.601322	0.398678	0	0.200000	0.800000	0.200000	0.800000	0	0.983012	0.556912	0.556912	0.327044	0.327044	1	2
CTDTMPbin0	CTDOXYbin0	0.323625	0.323625	0.323625	1	1	4	0	0.657000	0.363552	0.636448	0.363552	0.636448	0	0.600000	0.400000	0.600000	0.400000	0	0.983012	0.593005	0.593005	0.288889	0.288889	1	3
CTDTMPbin0	THETAbin0	0.586251	0.586251	0.586251	1	1	4	0	0.093000	0.999997	0.000003	0.999997	0.000003	0	1.000000	0.000000	1.000000	0.000000	0	0.767813	0.000335	0.000335	0.000000	0.000000	1	4
CTDTMPbin0	SALNTYbin0	-0.268771	-0.268771	-0.268771	4	4	1	0	0.844000	0.228191	0.771809	0.228191	0.771809	0	-0.400000	0.600000	-0.400000	0.600000	0	0.983012	0.615444	0.615444	0.301974	0.301974	1	5
CTDTMPbin0	OXYGENbin0	-0.349677	-0.349677	-0.349677	2	2	2	0	0.518000	-0.867616	0.132384	-0.867616	0.132384	0	-0.400000	0.600000	-0.400000	0.600000	0	0.983012	0.404615	0.404615	0.301974	0.301974	1	6
CTDTMPbin0	SILCATbin0	-0.586251	-0.586251	-0.586251	1	1	4	0	0.087000	-0.985687	0.014313	-0.985687	0.014313	0	-1.000000	0.000000	-1.000000	0.000000	0	0.767813	0.182889	0.182889	0.000000	0.000000	1	7
CTDTMPbin0	NO2+NO3bin0	-0.586251	-0.586251	-0.586251	1	1	4	0	0.086000	-0.994120	0.005880	-0.994120	0.005880	0	-1.000000	0.000000	-1.000000	0.000000	0	0.767813	0.104030	0.104030	0.000000	0.000000	1	8
CTDTMPbin0	PHSPHTbin0	-0.586251	-0.586251	-0.586251	1	1	4	0	0.088000	-0.932887	0.067113	-0.932887	0.067113	0	-1.000000	0.000000	-1.000000	0.000000	0	0.767813	0.324668	0.324668	0.000000	0.000000	1	9
CTDTMPbin0	CTDTMPbin1	-0.454938	-0.454938	-0.454938	1	1	4	0	0.348000	-0.337008	0.662992	-0.337008	0.662992	0	-0.800000	0.200000	-0.800000	0.200000	0	0.767813	0.595657	0.595657	0.220339	0.220339	1	10
CTDTMPbin0	CTDSALbin1	-0.268771	-0.268771	-0.268771	4	4	1	0	0.835000	-0.143241	0.856759	-0.143241	0.856759	0	-0.200000	0.800000	-0.200000	0.800000	0	0.983012	0.626452	0.626452	0.327044	0.327044	1	11
